Calibration metrics:
x0: Cal. error 0.3130, RMSE 0.1206, R2 0.4769
x1: Cal. error 0.3610, RMSE 0.1476, R2 0.2232
x2: Cal. error 0.3780, RMSE 0.1765, R2 -0.1071
x3: Cal. error 0.3930, RMSE 0.1833, R2 -0.1843
x4: Cal. error 0.4330, RMSE 0.2035, R2 -0.4546
x5: Cal. error 0.4430, RMSE 0.2115, R2 -0.5734
x6: Cal. error 0.4360, RMSE 0.2117, R2 -0.5788
x7: Cal. error 0.4190, RMSE 0.2025, R2 -0.4492
x8: Cal. error 0.3950, RMSE 0.1992, R2 -0.4087
x9: Cal. error 0.3920, RMSE 0.1996, R2 -0.4304
x10: Cal. error 0.3930, RMSE 0.2003, R2 -0.4573
x11: Cal. error 0.3980, RMSE 0.1963, R2 -0.4179
x12: Cal. error 0.4030, RMSE 0.1948, R2 -0.4193
x13: Cal. error 0.3910, RMSE 0.1949, R2 -0.4412
x14: Cal. error 0.3740, RMSE 0.1959, R2 -0.4776
x15: Cal. error 0.3620, RMSE 0.1985, R2 -0.5395
x16: Cal. error 0.3920, RMSE 0.2119, R2 -0.7821
x17: Cal. error 0.3980, RMSE 0.2220, R2 -0.9795
x18: Cal. error 0.4170, RMSE 0.2286, R2 -1.1221
x19: Cal. error 0.4190, RMSE 0.2262, R2 -1.0956
x20: Cal. error 0.4200, RMSE 0.2300, R2 -1.1823
x21: Cal. error 0.4190, RMSE 0.2366, R2 -1.3172
x22: Cal. error 0.4290, RMSE 0.2449, R2 -1.4889
x23: Cal. error 0.4260, RMSE 0.2443, R2 -1.4793
x24: Cal. error 0.4330, RMSE 0.2491, R2 -1.5713
x25: Cal. error 0.4240, RMSE 0.2484, R2 -1.5497
x26: Cal. error 0.4190, RMSE 0.2463, R2 -1.4914
x27: Cal. error 0.4330, RMSE 0.2521, R2 -1.5968
x28: Cal. error 0.4490, RMSE 0.2658, R2 -1.8627
x29: Cal. error 0.4560, RMSE 0.2722, R2 -1.9756
x30: Cal. error 0.4540, RMSE 0.2663, R2 -1.8280
x31: Cal. error 0.4570, RMSE 0.2653, R2 -1.7892
x32: Cal. error 0.4500, RMSE 0.2609, R2 -1.6690
x33: Cal. error 0.4430, RMSE 0.2618, R2 -1.6683
x34: Cal. error 0.4390, RMSE 0.2510, R2 -1.4329
x35: Cal. error 0.4290, RMSE 0.2396, R2 -1.1945
x36: Cal. error 0.4320, RMSE 0.2313, R2 -1.0378
x37: Cal. error 0.4440, RMSE 0.2286, R2 -1.0085
x38: Cal. error 0.4530, RMSE 0.2293, R2 -0.9980
x39: Cal. error 0.4510, RMSE 0.2330, R2 -1.0310
x40: Cal. error 0.4640, RMSE 0.2428, R2 -1.1980
x41: Cal. error 0.4680, RMSE 0.2503, R2 -1.3218
x42: Cal. error 0.4670, RMSE 0.2532, R2 -1.3531
x43: Cal. error 0.4730, RMSE 0.2526, R2 -1.3199
x44: Cal. error 0.4710, RMSE 0.2587, R2 -1.4144
x45: Cal. error 0.4780, RMSE 0.2639, R2 -1.5088
x46: Cal. error 0.4710, RMSE 0.2672, R2 -1.5660
x47: Cal. error 0.4650, RMSE 0.2665, R2 -1.5543
x48: Cal. error 0.4670, RMSE 0.2720, R2 -1.6849
x49: Cal. error 0.4610, RMSE 0.2741, R2 -1.7485
x50: Cal. error 0.4650, RMSE 0.2821, R2 -1.9304
x51: Cal. error 0.4630, RMSE 0.2800, R2 -1.9061
x52: Cal. error 0.4540, RMSE 0.2803, R2 -1.9446
x53: Cal. error 0.4560, RMSE 0.2821, R2 -2.0008
x54: Cal. error 0.4600, RMSE 0.2720, R2 -1.7952
x55: Cal. error 0.4540, RMSE 0.2619, R2 -1.5957
x56: Cal. error 0.4530, RMSE 0.2598, R2 -1.5542
x57: Cal. error 0.4490, RMSE 0.2569, R2 -1.4977
x58: Cal. error 0.4430, RMSE 0.2555, R2 -1.4570
x59: Cal. error 0.4200, RMSE 0.2477, R2 -1.2950
x60: Cal. error 0.4270, RMSE 0.2484, R2 -1.2903
x61: Cal. error 0.4120, RMSE 0.2426, R2 -1.1671
x62: Cal. error 0.4060, RMSE 0.2094, R2 -0.6045
x63: Cal. error 0.3300, RMSE 0.1259, R2 0.4254
x64: Cal. error 0.5020, RMSE 0.5489, R2 -9.8938
x65: Cal. error 0.5020, RMSE 0.5546, R2 -10.0278
x66: Cal. error 0.5020, RMSE 0.5662, R2 -10.4485
x67: Cal. error 0.5020, RMSE 0.5713, R2 -10.5606
x68: Cal. error 0.5020, RMSE 0.5829, R2 -10.9936
x69: Cal. error 0.4990, RMSE 0.5850, R2 -11.0967
x70: Cal. error 0.4990, RMSE 0.5920, R2 -11.4003
x71: Cal. error 0.4990, RMSE 0.5939, R2 -11.5218
x72: Cal. error 0.4990, RMSE 0.6054, R2 -12.0684
x73: Cal. error 0.4990, RMSE 0.6095, R2 -12.3897
x74: Cal. error 0.5020, RMSE 0.6223, R2 -13.1214
x75: Cal. error 0.5020, RMSE 0.6287, R2 -13.5986
x76: Cal. error 0.5020, RMSE 0.6322, R2 -13.9920
x77: Cal. error 0.5020, RMSE 0.6276, R2 -13.9936
x78: Cal. error 0.5020, RMSE 0.6230, R2 -13.9884
x79: Cal. error 0.5020, RMSE 0.6150, R2 -13.8202
x80: Cal. error 0.5020, RMSE 0.6175, R2 -14.1683
x81: Cal. error 0.5020, RMSE 0.6180, R2 -14.3832
x82: Cal. error 0.5020, RMSE 0.6234, R2 -14.8193
